responseid,distributionchannel,q43,social_media_use,how_often_1,how_often_2,how_often_3,how_often_4,how_often_5,how_often_6,how_often_7,how_often_8,how_often_9,how_often_10,how_often_11,tweets_public,insta_public,researchers_1,researchers_2,researchers_3,researchers_4,researchers_5,researchers_6,researchers_7,researchers_8,researchers_9,researchers_10,researchers_11,researchers_12,researchers_13,researchers_14,researchers_15,researchers_16,researchers_17,researchers_18,researchers_19,researchers_20,sm_companies_1,sm_companies_2,sm_companies_3,sm_companies_4,sm_companies_5,sm_companies_6,sm_companies_7,sm_companies_8,sm_companies_9,sm_companies_10,sm_companies_11,sm_companies_12,sm_companies_13,sm_companies_14,sm_companies_15,sm_companies_16,sm_companies_17,sm_companies_18,sm_companies_19,sm_companies_20,journalists_1,journalists_2,journalists_3,journalists_4,journalists_5,journalists_6,journalists_7,journalists_8,journalists_9,journalists_10,journalists_11,journalists_12,journalists_13,journalists_14,journalists_15,journalists_16,sometimes,sometimes_text,digital_privacy_1,digital_privacy_2,digital_privacy_3,digital_privacy_4,social_science,data_archive_1,data_archive_2,data_archive_3,data_archive_4,data_archive_5,secure_archive,anonymous_archive,concern-misuse,concern-harm,age,gender_identity_1,gender_identity_2,gender_identity_3,gender_identity_4,gender_identity_5,gender_identity_6,sexual_orientation_1,sexual_orientation_2,sexual_orientation_3,sexual_orientation_4,sexual_orientation_5,race_ethnicity_1,race_ethnicity_2,race_ethnicity_3,race_ethnicity_4,race_ethnicity_5,race_ethnicity_6,race_ethnicity_7,race_ethnicity_8,race_ethnicity_9,education,income,sensitivity_1,sensitivity_2,sensitivity_3,sensitivity_4,sensitivity_5,sensitivity_6,sensitivity_7,sensitivity_8,sensitivity_9,sensitivity_10,sensitivity_11,sensitivity_12,sensitivity_13,sensitivity_14,sensitivity_15,sensitivity_16,trust_1,trust_2,trust_3,trust_4,trust_5,trust_6,privacy_behaviors_1,privacy_behaviors_2,privacy_behaviors_3,privacy_behaviors_4,privacy_behaviors_5,privacy_behaviors_6,privacy_behaviors_7
R_1hKlo8Z8pyxqPXe,anonymous,Yes,Yes,About Once a Day,Several Times a Day,Less Often,A Few Times a Week,A Few Times a Week,Less Often,Don't use at all,Don't use at all,Don't use at all,Don't use at all,Several Times a Day,,Yes,Yes,Yes,No,No,No,I'm not sure.,Yes,Yes,No,Yes,No,No,No,No,No,No,No,No,I'm not sure.,No,No,I'm not sure.,No,No,No,No,I'm not sure.,No,No,I'm not sure.,No,No,No,No,No,No,No,No,No,No,Yes,No,No,I'm not sure.,No,No,I'm not sure.,No,No,Yes,No,No,No,No,No,No,Yes,It depends on whether you still have anonymity.,Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,I'm not sure,I'm not sure,Moderately Concerned,Slightly Concerned,35 - 44,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,High school graduate - high school diploma or equivalent (for example: GED),"$20,000 - $29,999",Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,5,5,8,5,3,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,6,4,5,3,4,2,No trust at all - 1,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always
R_C1wPDiwr8LOQ6Gd,anonymous,Yes,Yes,Several Times a Day,Several Times a Day,Several Times a Day,Several Times a Day,Several Times a Day,About Once a Day,About Once a Day,Several Times a Day,About Once a Day,Several Times a Day,Several Times a Day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,sometimes good,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Important,Important,Important,Important,Important,Good idea,Good idea,Moderately Concerned,Moderately Concerned,35 - 44,0,Man,0,0,0,0,0,0,Bisexual,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$50,000 - $59,999",4,6,5,8,5,8,7,7,6,5,8,9,7,6,5,7,4,5,5,6,4,5,Always,Always,Always,Sometimes,Always,Sometimes,Always
R_2163iZhmNi3ctAC,anonymous,Yes,Yes,Every Few Weeks,A Few Times a Week,About Once a Day,A Few Times a Week,About Once a Day,A Few Times a Week,Every Few Weeks,A Few Times a Week,Every Few Weeks,Less Often,About Once a Day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,some correct the answer,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Disagree,Neither important nor unimportant,Important,Important,Important,Important,Good idea,Good idea,Moderately Concerned,Slightly Concerned,25 - 34,0,Man,0,0,0,0,0,0,Bisexual,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$80,000 - $89,999",4,4,4,3,5,5,4,6,5,5,5,3,8,4,4,5,6,4,5,3,5,4,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes,Never
R_pQ8NBs4c4zVYGTD,anonymous,Yes,Yes,Several Times a Day,Several Times a Day,About Once a Day,Less Often,About Once a Day,About Once a Day,Several Times a Day,Several Times a Day,Several Times a Day,Several Times a Day,Several Times a Day,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-99,Agree,Neither Agree Nor Disagree,Agree,Agree,Neither agree nor disagree,Neither important nor unimportant,Not important,Neither important nor unimportant,Not important,Important,Good idea,Good idea,Moderately Concerned,Slightly Concerned,25 - 34,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$40,000 - $49,999",7,2,2,3,4,6,4,4,4,2,3,3,6,9,6,4,5,4,4,5,5,6,Sometimes,Sometimes,Always,Always,Sometimes,Never,Sometimes
R_1gux5ZouK9ptYiN,anonymous,Yes,Yes,About Once a Day,Several Times a Day,A Few Times a Week,Don't use at all,A Few Times a Week,Less Often,Less Often,Every Few Weeks,A Few Times a Week,Several Times a Day,A Few Times a Week,No,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,NA,Agree,Agree,Disagree,Agree,Disagree,Important,Important,Important,Important,Important,Good idea,Good idea,Moderately Concerned,Moderately Concerned,25 - 34,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Professional Degree (For example: MBA, MFA, DDS, DVM, LLB, JD)","$60,000 - $69,999",4,6,7,8,7,8,5,4,5,4,3,5,6,5,8,9,5,3,5,4,3,2,Never,Sometimes,Never,Sometimes,Never,Sometimes,Always
R_27maBVcPPoesuSR,anonymous,Yes,Yes,About Once a Day,Every Few Weeks,Don't use at all,Don't use at all,Every Few Weeks,Less Often,Don't use at all,Don't use at all,Every Few Weeks,Several Times a Day,Several Times a Day,No,No,No,I'm not sure.,No,Yes,No,No,No,No,No,I'm not sure.,No,I'm not sure.,No,No,No,No,No,No,No,No,No,I'm not sure.,I'm not sure.,I'm not sure.,No,I'm not sure.,I'm not sure.,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,It depends on exactly how the information will be published and if the data will be traced back to me.,Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Neither important nor unimportant,Bad idea,Bad idea,Slightly Concerned,Slightly Concerned,25 - 34,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,Black or African American,0,0,0,0,0,0,"Bachelor's degree (For example: BA, AB, BS)","$70,000 - $79,999",5,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Not Sensitive 1,3,8,5,7,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,4,2,4,2,No trust at all - 1,No trust at all - 1,Sometimes,Never,Sometimes,Sometimes,Sometimes,Never,Sometimes
R_1GVrgkpV31MUez8,anonymous,Yes,Yes,Several Times a Day,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,"Sometimes we have ti accept change, if we want to move forward",Agree,Agree,Neither Agree Nor Disagree,Agree,Disagree,Important,Important,Important,Important,Important,Good idea,Good idea,Neither Concerned nor Unconcerned,Neither Concerned nor Unconcerned,35 - 44,0,Man,0,0,0,0,0,0,Bisexual,0,0,0,0,0,0,0,0,White,0,0,"Master's degree (For example: MA, MS)","$80,000 - $89,999",-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,-99,5,-99,-99,Complete Trust - 7,5,4,Complete Trust - 7,6,5,Always,Always,Always,Always,Always,Sometimes,Always
R_24FNJGHQMypZGzs,anonymous,Yes,Yes,About Once a Day,About Once a Day,About Once a Day,A Few Times a Week,About Once a Day,A Few Times a Week,About Once a Day,A Few Times a Week,About Once a Day,Several Times a Day,Several Times a Day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,social media,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Important,Important,Important,Important,Important,Good idea,Good idea,Slightly Concerned,Slightly Concerned,25 - 34,0,Man,0,0,0,0,0,0,Bisexual,0,0,0,0,Black or African American,0,0,0,0,0,0,"Bachelor's degree (For example: BA, AB, BS)","$100,000 - $149,999",6,8,5,5,6,4,7,2,2,8,5,6,6,7,7,7,2,3,3,2,6,6,Always,Sometimes,Always,Sometimes,Sometimes,Always,Sometimes
R_2YyXJJsZrkr7ZKJ,anonymous,Yes,Yes,Several Times a Day,Several Times a Day,Less Often,Don't use at all,Every Few Weeks,Every Few Weeks,About Once a Day,Several Times a Day,Several Times a Day,Several Times a Day,Several Times a Day,Yes,Yes,Yes,Yes,No,No,Yes,Yes,I'm not sure.,Yes,No,Yes,I'm not sure.,No,No,I'm not sure.,No,No,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,I'm not sure.,No,No,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,I'm not sure.,No,No,No,No,No,Yes,there are something you want it to be private and there are some you only few people to see,Agree,Disagree,Disagree,Disagree,Disagree,Important,Important,Important,Important,Important,Good idea,I'm not sure,Slightly Unconcerned,Moderately Unconcerned,25 - 34,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,Black or African American,0,0,0,0,0,0,"Bachelor's degree (For example: BA, AB, BS)","$80,000 - $89,999",5,4,4,Very Sensitive 10,Very Sensitive 10,7,5,2,2,4,3,Very Sensitive 10,8,7,8,6,5,5,5,3,4,3,Never,Sometimes,Never,Sometimes,Sometimes,Never,Sometimes
R_3nIVTYYb5Se7gOD,anonymous,Yes,Yes,Don't use at all,Several Times a Day,Don't use at all,Don't use at all,Every Few Weeks,About Once a Day,Don't use at all,Don't use at all,Every Few Weeks,Don't use at all,Several Times a Day,No,No,Yes,Yes,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,Yes,It depends on whether or not the end result of data is something I think is very useful to me.,Agree,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Neither agree nor disagree,Neither important nor unimportant,Important,Important,Important,Important,Good idea,Good idea,Moderately Concerned,Moderately Concerned,45 - 54,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$10,000 - $19,999",9,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,9,5,5,5,3,2,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,3,4,5,4,2,No trust at all - 1,Sometimes,Sometimes,Never,Always,Always,Always,Sometimes
R_1Ed5jXwRT7aVCfA,anonymous,Yes,Yes,Several Times a Day,-99,-99,-99,-99,-99,-99,-99,-99,-99,Several Times a Day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,some times,Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Agree,Important,Important,Important,Important,Important,Good idea,Good idea,Slightly Concerned,Slightly Concerned,25 - 34,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$40,000 - $49,999",3,3,3,3,3,2,2,4,2,3,2,2,2,3,3,3,4,4,4,4,4,5,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
R_2Xj7tzIdYivAPhN,anonymous,Yes,Yes,A Few Times a Week,About Once a Day,Less Often,Several Times a Day,About Once a Day,Less Often,Every Few Weeks,A Few Times a Week,About Once a Day,Every Few Weeks,Every Few Weeks,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,I'm not sure.,I'm not sure.,Yes,No,Yes,No,I'm not sure.,No,Yes,No,No,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,No,No,Yes,No,most often,Agree,Disagree,Agree,Neither Agree Nor Disagree,-99,Neither important nor unimportant,Not important,Important,Neither important nor unimportant,Important,Good idea,Good idea,Moderately Concerned,Neither Concerned nor Unconcerned,25 - 34,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$50,000 - $59,999",3,3,5,4,5,4,5,4,3,3,4,6,4,5,4,5,4,3,5,3,4,3,Sometimes,Sometimes,Never,Never,Sometimes,Sometimes,Sometimes
R_ONng0OnyojuZpPr,anonymous,Yes,Yes,A Few Times a Week,A Few Times a Week,A Few Times a Week,A Few Times a Week,A Few Times a Week,A Few Times a Week,A Few Times a Week,About Once a Day,A Few Times a Week,A Few Times a Week,A Few Times a Week,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,no,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Agree,Neither important nor unimportant,Not important,Not important,Not important,Not important,Bad idea,Good idea,Slightly Concerned,Moderately Concerned,45 - 54,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$100,000 - $149,999",4,3,3,4,4,4,4,3,4,4,3,3,3,4,4,4,5,4,4,4,5,4,Sometimes,Sometimes,Sometimes,Always,Sometimes,Always,Sometimes
R_1qg5rhS30MqJt4M,anonymous,Yes,Yes,Several Times a Day,About Once a Day,Less Often,Less Often,Less Often,Less Often,Every Few Weeks,Several Times a Day,A Few Times a Week,Several Times a Day,Several Times a Day,Yes,Yes,Yes,I'm not sure.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,It depends,Agree,Neither Agree Nor Disagree,Agree,Agree,Agree,Important,Important,Important,Neither important nor unimportant,Important,Good idea,Good idea,Slightly Concerned,Slightly Concerned,55 - 64,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$50,000 - $59,999",8,8,9,9,6,9,6,7,7,7,9,8,7,9,7,8,5,6,5,6,5,6,Always,Sometimes,Always,Sometimes,Always,Always,Sometimes
R_3m955fPXxpBGjGQ,anonymous,Yes,Yes,About Once a Day,A Few Times a Week,A Few Times a Week,Every Few Weeks,A Few Times a Week,Several Times a Day,Every Few Weeks,Every Few Weeks,A Few Times a Week,Every Few Weeks,Several Times a Day,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,-99,Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,Bad idea,Bad idea,Moderately Concerned,Moderately Concerned,25 - 34,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,Some college but no degree,"$20,000 - $29,999",Very Sensitive 10,9,9,7,8,9,6,5,6,6,5,9,Very Sensitive 10,8,9,6,2,No trust at all - 1,2,2,No trust at all - 1,2,Sometimes,Sometimes,Sometimes,Sometimes,Always,Always,Sometimes
R_0Vetu9kHanCN8yt,anonymous,Yes,Yes,A Few Times a Week,Several Times a Day,About Once a Day,Every Few Weeks,Every Few Weeks,Several Times a Day,About Once a Day,Every Few Weeks,-99,-99,-99,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,I'm not sure.,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes,Yes,big decision,Agree,Agree,Agree,Agree,Agree,Important,Important,Not important,Neither important nor unimportant,Important,Good idea,Good idea,Moderately Concerned,Extremely Concerned,35 - 44,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Master's degree (For example: MA, MS)","$50,000 - $59,999",-99,-99,-99,-99,-99,-99,-99,9,3,-99,-99,-99,-99,9,-99,-99,Complete Trust - 7,6,Complete Trust - 7,6,Complete Trust - 7,6,Always,Always,Always,Always,Sometimes,Always,Sometimes
R_2rp9NyaGVrL0nw5,anonymous,Yes,Yes,About Once a Day,Several Times a Day,About Once a Day,Every Few Weeks,A Few Times a Week,A Few Times a Week,Every Few Weeks,A Few Times a Week,A Few Times a Week,About Once a Day,About Once a Day,I'm not sure,Yes,Yes,I'm not sure.,I'm not sure.,Yes,I'm not sure.,Yes,Yes,I'm not sure.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,Yes,Yes,Yes,Yes,Yes,I'm not sure.,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,-99,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Neither agree nor disagree,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Important,Neither important nor unimportant,I'm not sure,Good idea,Slightly Concerned,Moderately Concerned,25 - 34,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$50,000 - $59,999",8,7,7,8,8,7,8,7,7,7,5,8,9,6,7,7,5,4,6,5,4,6,Always,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Always
R_3lRZerLiSZWICfa,anonymous,Yes,Yes,Several Times a Day,About Once a Day,Don't use at all,Don't use at all,Less Often,A Few Times a Week,Don't use at all,Don't use at all,Don't use at all,Don't use at all,A Few Times a Week,,Yes,No,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,No,Yes,No,No,No,Yes,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,"I sometimes felt like I wanted to answer that way, but in each case, I ended up making a decision of yes or no.  I think that I felt like “it depends” might be a good answer when I felt like I didn't have enough information about what data they would be using and/or how they would be using it.  Some of the questions felt a little vague and like they needed further explanation, and this is when I considered answering “it depends.”",Agree,Agree,Agree,Agree,Neither agree nor disagree,Important,Important,Important,Important,Neither important nor unimportant,I'm not sure,Good idea,Moderately Concerned,Extremely Concerned,45 - 54,Woman,0,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Master's degree (For example: MA, MS)","$40,000 - $49,999",Very Sensitive 10,8,9,Very Sensitive 10,Very Sensitive 10,8,8,7,8,7,7,9,8,Very Sensitive 10,Very Sensitive 10,8,5,3,6,6,4,2,Sometimes,Sometimes,Sometimes,Always,Always,Always,Sometimes
R_1ImFS6FnMTVHl6E,anonymous,Yes,Yes,About Once a Day,Several Times a Day,About Once a Day,Several Times a Day,About Once a Day,Several Times a Day,About Once a Day,Several Times a Day,About Once a Day,Several Times a Day,Several Times a Day,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,very unble to like,Agree,Neither Agree Nor Disagree,Agree,Neither Agree Nor Disagree,Agree,Important,Important,Important,Important,Important,Good idea,Good idea,Extremely Concerned,Moderately Concerned,25 - 34,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$100,000 - $149,999",2,3,3,3,3,2,2,2,2,3,3,3,2,2,2,3,3,2,3,4,3,3,Sometimes,Always,Sometimes,Always,Sometimes,Always,Always
R_30rhfardThPDkpE,anonymous,Yes,Yes,Several Times a Day,About Once a Day,Every Few Weeks,Every Few Weeks,A Few Times a Week,A Few Times a Week,About Once a Day,A Few Times a Week,About Once a Day,A Few Times a Week,About Once a Day,Yes,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,I'm not sure.,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,No,Yes,No,No,No,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Yes,I'm not sure.,Yes,I'm not sure.,Yes,Yes,"When the sentence is present tense and the subject is Third Person singular number, then the verb would be in plural form(depends).",Agree,Neither Agree Nor Disagree,Neither Agree Nor Disagree,Agree,Neither agree nor disagree,Neither important nor unimportant,Not important,Important,Not important,Neither important nor unimportant,Bad idea,Good idea,Slightly Unconcerned,Neither Concerned nor Unconcerned,35 - 44,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Master's degree (For example: MA, MS)","$40,000 - $49,999",9,8,-99,-99,-99,-99,-99,5,7,-99,-99,9,-99,-99,-99,-99,4,6,4,5,3,4,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes
R_3QzlMC4mCarabHX,anonymous,Yes,Yes,Several Times a Day,Several Times a Day,About Once a Day,Don't use at all,Every Few Weeks,Don't use at all,Don't use at all,Less Often,Less Often,Several Times a Day,Several Times a Day,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Yes,No,No,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Sometimes each request has a different motivation and depending on the situation I could vote YES or NO.,Agree,Agree,Agree,Agree,Disagree,Important,Important,Important,Important,Important,I'm not sure,Good idea,Extremely Concerned,Extremely Concerned,18 - 24,0,Man,0,0,0,0,0,Heterosexual (straight),0,0,0,0,0,0,0,0,0,White,0,0,"Bachelor's degree (For example: BA, AB, BS)","$40,000 - $49,999",Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,6,4,5,4,4,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,Very Sensitive 10,6,2,3,6,4,2,2,Never,Sometimes,Never,Always,Sometimes,Always,Always
